,Date_imp,Category_name,name,price,merchant,brand,currency,weight
31,2017-06-01 17:00:00,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",279.99,Bestbuy.com,DreamWave,USD,13.2 pounds
32,2017-06-01 19:00:00,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",279.99,Bestbuy.com,DreamWave,USD,13.2 pounds
33,2017-10-10 20:00:00,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,Bestbuy.com,DreamWave,USD,13.2 pounds
34,2017-09-18 13:00:00,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,Bestbuy.com,DreamWave,USD,13.2 pounds
35,2017-08-30 07:00:00,"speaker, portable, bluetooth","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",289.99,Bestbuy.com,DreamWave,USD,13.2 pounds
36,2017-03-10 22:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,254.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
37,2017-03-04 10:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,254.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
38,2017-03-30 06:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,209.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
39,2017-10-10 22:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
40,2017-09-12 03:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
41,2017-09-06 18:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
42,2017-08-30 06:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
43,2017-09-18 16:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
44,2017-07-31 23:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
45,2017-08-01 07:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
46,2017-07-26 20:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
47,2017-07-11 06:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
48,2017-07-07 14:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
49,2017-06-01 19:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
50,2017-06-01 12:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
51,2017-05-09 11:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
52,2017-05-01 20:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
